horizon,beta,se,t_stat,p_value,ci_low,ci_high,n_obs,p_value_bh
-6.0,0.047816490741607105,0.035841083020442734,1.3341251634146754,0.18216284032037544,-0.022430741145370713,0.11806372262858492,1436537.0,NaN
-5.0,0.03522297082257358,0.029546075477598882,1.1921370352309153,0.23320751733726364,-0.022686272998022304,0.09313221464316945,1441103.0,NaN
-4.0,0.03289665154433899,0.024630709687477676,1.3355949528755862,0.18168170071110268,-0.015378652356779064,0.08117195544545705,1445669.0,NaN
-3.0,0.012656665688110484,0.02260118562107594,0.5600000770007374,0.5754793851765008,-0.03164084413710289,0.05695417551332386,1450235.0,NaN
-2.0,0.000937964303019741,0.009654267599065389,0.09715540753299023,0.9226029800850917,-0.017984052488260398,0.01985998109429988,1454801.0,NaN
0.0,-0.024898969387359176,0.01739348852226883,-1.4315109562685542,0.15228382919615124,-0.058989580456516894,0.009191641681798538,1431971.0,0.48047201676572404
1.0,-0.032151593671477345,0.02238181532066836,-1.4365051811408318,0.1508586431071237,-0.07601914560861413,0.011715958265659437,1427405.0,0.48047201676572404
2.0,-0.05266801735154767,0.02475299980897512,-2.1277428092756225,0.03335841344554957,-0.10118300548646575,-0.004153029216629599,1422839.0,0.3100138286189491
3.0,-0.0635487894421893,0.027617640461956527,-2.301021679593814,0.02139040569509243,-0.11767837008560023,-0.009419208798778361,1418273.0,0.3100138286189491
4.0,-0.06352399190780025,0.032354430176058185,-1.963378478994419,0.04960221257903186,-0.1269375097931902,-0.00011047402241029514,1413707.0,0.3100138286189491
5.0,-0.06895489876212525,0.03420411690338227,-2.0159824314980823,0.043801812922799055,-0.13599373601575218,-0.0019160615084983235,1409141.0,0.3100138286189491
6.0,-0.05293496818437985,0.037110717780836605,-1.4264064763445412,0.1537510453650317,-0.12567063847524979,0.01980070210649009,1404575.0,0.48047201676572404
7.0,-0.04038475615051396,0.04307827110774293,-0.9374739308712686,0.3485148273104408,-0.12481661603794247,0.044047103736914554,1400009.0,0.6086166188271033
8.0,-0.03937067492521415,0.04080834409115059,-0.9647702155538282,0.3346599172357587,-0.11935355961258723,0.04061220976215893,1395443.0,0.6086166188271033
9.0,-0.014783330129297608,0.048368572150351216,-0.3056391675847777,0.7598793951913903,-0.10958398952761307,0.08001732926901785,1390877.0,0.7915410366576983
10.0,-0.037842175362381936,0.041788803278187216,-0.9055577665258165,0.36516997129626194,-0.11974672474465822,0.04406237401989435,1386311.0,0.6086166188271033
11.0,-0.018664963966766326,0.0432160746422588,-0.43189864237495573,0.6658150815448276,-0.10336691381878828,0.06603698588525563,1381745.0,0.7650375916914451
12.0,-0.020793293761012854,0.04587247402524485,-0.4532847683246765,0.6503436993656673,-0.11070169073224188,0.06911510321021617,1377179.0,0.7650375916914451
13.0,-0.035097042066031064,0.047208896422372595,-0.7434412732723478,0.45721456402679483,-0.12762477880376316,0.05743069467170103,1372613.0,0.6537093506608527
14.0,-0.05178137648828015,0.04748040648555326,-1.0905841023925424,0.2754559279689226,-0.14484126317128654,0.041278510194726246,1368047.0,0.6086166188271033
15.0,-0.0791827811266532,0.05131923741146721,-1.5429453967092643,0.1228440248968874,-0.17976663816718946,0.021401075913883086,1363481.0,0.48047201676572404
16.0,-0.05974514304110314,0.051608188693260476,-1.1576678925161594,0.24699959143131212,-0.16089533418724092,0.04140504810503463,1358915.0,0.6086166188271033
17.0,-0.04885470728016245,0.05329015333021048,-0.9167679998486035,0.3592642245056725,-0.15330148853799222,0.05559207397766731,1354349.0,0.6086166188271033
18.0,-0.057103056639209435,0.05340871963743038,-1.0691710459801016,0.2849926028731846,-0.1617822235889701,0.04757611031055124,1349783.0,0.6086166188271033
19.0,-0.03975333147851115,0.055106715047629914,-0.721388154676821,0.4706707324758139,-0.14776050827817722,0.06825384532115493,1345217.0,0.6537093506608527
20.0,-0.04165756486632429,0.05495584503127323,-0.7580188211575783,0.4484397154732682,-0.1493690418675843,0.06605391213493572,1340651.0,0.6537093506608527
21.0,-0.03365662209111645,0.05334118205197189,-0.630968808646269,0.5280609192154864,-0.1382034178057757,0.0708901736235428,1336085.0,0.6948169989677453
22.0,-0.02329158406002546,0.055230632169243815,-0.4217149640556858,0.6732330806884717,-0.13154163395512264,0.08495846583507173,1331519.0,0.7650375916914451
23.0,-0.01900686755421944,0.055318579889380305,-0.3435892170809008,0.7311552350786419,-0.12742929181330656,0.08941555670486769,1326953.0,0.7915410366576983
24.0,-0.012279470408155925,0.05655576333517007,-0.21712146886575126,0.8281136832901175,-0.12312672966326015,0.09856778884694829,1322387.0,0.8281136832901175
